All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 15:45
Date Period,02/03/2026 - 08/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,60636,1652,2.72%,-,-,13,10,0.79%,0.61%,53229.54,69198.40,13,10,25820000,19395000,691984,37.31,28.03,2.68%,3.57%,-,-,-,0,0
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,6419,258,4.02%,0,0.00%,1,0,0.39%,0.00%,67025.61,0.00,1,0,250000,0,67026,3.73,0.00,26.81%,0.00%,-,-,-,0,0
3,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,7932,324,4.08%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,91001,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,5610,149,2.66%,0,0.00%,1,1,0.67%,0.67%,138762.34,138762.34,1,1,3800000,3800000,138762,27.38,27.38,3.65%,3.65%,-,-,-,0,0
