All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 16:13
Date Period,04/05/2026 - 10/05/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,47474,1509,3.18%,-,-,2,1,0.13%,0.07%,235284.03,470568.06,2,1,4205000,425000,470568,8.94,0.90,11.19%,110.72%,-,-,-,34000,425000
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,8426,281,3.33%,0,0.00%,2,2,0.71%,0.71%,74889.43,74889.43,2,2,4250000,4250000,149779,28.38,28.38,3.52%,3.52%,-,-,-,59546,2125000
3,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,6490,234,3.61%,0,0.00%,3,3,1.28%,1.28%,89682.63,89682.63,3,3,8925000,8925000,269048,33.17,33.17,3.01%,3.01%,-,-,-,0,0
4,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,4681,121,2.58%,0,0.00%,3,0,2.48%,0.00%,43238.40,0.00,3,0,7225000,0,129715,55.70,0.00,1.80%,0.00%,-,-,-,0,0
5,"NuPhy Halo75 V2 QMK/VIA 75% Layout Wireless Mechanical Keyboard - Compatible with Windows, macOS, Macbook Neo and Linux RGB Backlight Hot-swappable Switch [3]",Paused,Product Ad,24984900134,-,GMV Max Custom ROAS,All,01/11/2025 00:00:00,Unlimited,3723,118,3.17%,0,0.00%,1,1,0.85%,0.85%,85455.68,85455.68,1,1,2210000,2210000,85456,25.86,25.86,3.87%,3.87%,-,-,-,0,0
