Semua Laporan Iklan CPC - Shopee Indonesia
Username,nuphyindonesia
Nama Toko,Nuphy Official Store
ID Toko,624189649
Waktu Laporan Dibuat,06/07/2026 17:56
Periode,29/06/2026 - 05/07/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Add to Cart,Add to Cart Rate,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk,Voucher Amount,Vouchered Sales
1,Group Low Konversi,Berjalan,Iklan Produk,-,-,GMV Max ROAS,-,05/06/2026 00:00:00,Tidak Terbatas,6811,332,4.87%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,131590,0.00,0.00,0.00%,0.00%,-,-,-,0,0
2,Shop GMV Max,Berjalan,,-,-,GMV Max Auto Bidding (Shop),Semua Penempatan,03/12/2025 00:00:00,Tidak Terbatas,5410,273,5.05%,-,-,1,1,0.37%,0.37%,48202.99,48202.99,1,1,2250000,2250000,48203,46.68,46.68,2.14%,2.14%,-,-,-,0,0
3,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Berjalan,Iklan Produk,47102389821,-,GMV Max ROAS,Semua Penempatan,28/01/2026 00:00:00,Tidak Terbatas,3972,222,5.59%,5,2.25%,1,1,0.45%,0.45%,94853.36,94853.36,1,1,2225000,2225000,94853,23.46,23.46,4.26%,4.26%,-,-,-,0,0
4,NuPhy Node 75 High-Profile Wireless Mechanical Keyboard 75% Layout RGB LED Hot-swappable Switch Support Macbook Neo,Berjalan,Iklan Produk,57454190183,-,GMV Max ROAS,Semua Penempatan,30/06/2026 00:00:00,Tidak Terbatas,2409,107,4.44%,0,0.00%,1,0,0.93%,0.00%,60908.41,0.00,1,0,3000000,0,60908,49.25,0.00,2.03%,0.00%,-,-,-,0,0
5,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Berjalan,Iklan Produk,44020842631,-,GMV Max ROAS,Semua Penempatan,04/11/2025 00:00:00,Tidak Terbatas,1599,86,5.38%,2,2.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,95724,0.00,0.00,0.00%,0.00%,-,-,-,0,0
