All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 15:56
Date Period,23/03/2026 - 29/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,25947,884,3.41%,-,-,8,8,0.90%,0.90%,22558.33,22558.33,14,14,4450000,4450000,180467,24.66,24.66,4.06%,4.06%,-,-,-,0,0
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,5816,206,3.54%,0,0.00%,2,2,0.97%,0.97%,77692.86,77692.86,2,2,4000000,4000000,155386,25.74,25.74,3.88%,3.88%,-,-,-,0,0
3,"NuPhy Halo75 V2 QMK/VIA 75% Layout Wireless Mechanical Keyboard - Compatible with Windows, macOS, Macbook Neo and Linux RGB Backlight Hot-swappable Switch [3]",Paused,Product Ad,24984900134,-,GMV Max Custom ROAS,All,01/11/2025 00:00:00,Unlimited,6435,222,3.45%,0,0.00%,1,1,0.45%,0.45%,142825.16,142825.16,1,1,2080000,2080000,142825,14.56,14.56,6.87%,6.87%,-,-,-,0,0
4,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,5582,127,2.28%,0,0.00%,1,1,0.79%,0.79%,125208.03,125208.03,1,1,3280000,3280000,125208,26.20,26.20,3.82%,3.82%,-,-,-,0,0
5,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,3849,128,3.33%,0,0.00%,1,1,0.78%,0.78%,45451.52,45451.52,1,1,2800000,2800000,45452,61.60,61.60,1.62%,1.62%,-,-,-,0,0
