All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 16:22
Date Period,01/06/2026 - 07/06/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,18888,861,4.56%,-,-,2,2,0.23%,0.23%,83125.90,83125.90,2,2,2500000,2500000,166252,15.04,15.04,6.65%,6.65%,-,-,-,62500,250000
2,Group Hero,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,05/06/2026 00:00:00,Unlimited,8046,324,4.03%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,207442,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,4564,233,5.11%,12,5.15%,2,2,0.86%,0.86%,73747.21,73747.21,2,2,4500000,4500000,147494,30.51,30.51,3.28%,3.28%,-,-,-,0,0
4,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,1565,58,3.71%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,38346,0.00,0.00,0.00%,0.00%,-,-,-,0,0
