All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 15:36
Date Period,02/02/2026 - 08/02/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,50796,1333,2.62%,-,-,7,5,0.53%,0.38%,146236.98,204731.77,7,5,6930000,6130000,1023659,6.77,5.99,14.77%,16.70%,-,-,-,0,0
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,7096,253,3.57%,0,0.00%,2,0,0.79%,0.00%,76599.08,0.00,2,0,4580000,0,153198,29.90,0.00,3.34%,0.00%,-,-,-,0,0
3,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,6103,134,2.20%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,165251,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,5188,219,4.22%,0,0.00%,4,4,1.83%,1.83%,72590.29,72590.29,4,4,10240000,10240000,290361,35.27,35.27,2.84%,2.84%,-,-,-,0,0
