All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 16:16
Date Period,18/05/2026 - 24/05/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,20477,744,3.63%,-,-,2,1,0.27%,0.13%,100616.04,201232.07,2,1,1175000,500000,201232,5.84,2.48,17.13%,40.25%,-,-,-,72916,500000
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,4959,210,4.23%,0,0.00%,1,1,0.48%,0.48%,80377.48,80377.48,1,1,2250000,2250000,80377,27.99,27.99,3.57%,3.57%,-,-,-,0,0
3,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,4276,152,3.55%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,129149,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,"NuPhy Halo75 V2 QMK/VIA 75% Layout Wireless Mechanical Keyboard - Compatible with Windows, macOS, Macbook Neo and Linux RGB Backlight Hot-swappable Switch [3]",Paused,Product Ad,24984900134,-,GMV Max Custom ROAS,All,01/11/2025 00:00:00,Unlimited,2350,91,3.87%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,80936,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,2286,56,2.45%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,70946,0.00,0.00,0.00%,0.00%,-,-,-,0,0
