All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 16:05
Date Period,20/04/2026 - 26/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,20370,771,3.78%,-,-,8,6,1.04%,0.78%,20170.78,26894.37,8,6,7810000,2210000,161366,48.40,13.70,2.07%,7.30%,-,-,-,78000,1000000
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,5892,221,3.75%,0,0.00%,4,3,1.81%,1.36%,37873.41,50497.88,4,3,8800000,6000000,151494,58.09,39.61,1.72%,2.52%,-,-,-,0,0
3,"NuPhy Halo75 V2 QMK/VIA 75% Layout Wireless Mechanical Keyboard - Compatible with Windows, macOS, Macbook Neo and Linux RGB Backlight Hot-swappable Switch [3]",Paused,Product Ad,24984900134,-,GMV Max Custom ROAS,All,01/11/2025 00:00:00,Unlimited,5842,198,3.39%,0,0.00%,2,1,1.01%,0.51%,63572.69,127145.38,2,1,4080000,2080000,127145,32.09,16.36,3.12%,6.11%,-,-,-,0,0
4,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,2344,129,5.50%,0,0.00%,9,9,6.98%,6.98%,25571.01,25571.01,9,9,25900000,25900000,230139,112.54,112.54,0.89%,0.89%,-,-,-,0,0
5,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,630,24,3.81%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,23737,0.00,0.00,0.00%,0.00%,-,-,-,0,0
