All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 15:54
Date Period,16/03/2026 - 22/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,15688,587,3.74%,-,-,5,5,0.85%,0.85%,8131.16,8131.16,5,5,1500000,1500000,40656,36.90,36.90,2.71%,2.71%,-,-,-,0,0
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,5739,198,3.45%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,134711,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,6681,203,3.04%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,74432,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,"NuPhy Halo75 V2 QMK/VIA 75% Layout Wireless Mechanical Keyboard - Compatible with Windows, macOS, Macbook Neo and Linux RGB Backlight Hot-swappable Switch [3]",Paused,Product Ad,24984900134,-,GMV Max Custom ROAS,All,01/11/2025 00:00:00,Unlimited,5814,195,3.35%,0,0.00%,1,1,0.51%,0.51%,77384.78,77384.78,1,1,2080000,2080000,77385,26.88,26.88,3.72%,3.72%,-,-,-,0,0
5,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,5218,108,2.07%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,46732,0.00,0.00,0.00%,0.00%,-,-,-,0,0
