All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 16:11
Date Period,27/04/2026 - 03/05/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,25004,863,3.45%,-,-,3,2,0.35%,0.23%,58791.67,88187.51,3,2,750000,500000,176375,4.25,2.83,23.52%,35.28%,-,-,-,0,0
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,7184,272,3.79%,0,0.00%,2,2,0.74%,0.74%,77261.16,77261.16,2,2,4000000,4000000,154522,25.89,25.89,3.86%,3.86%,-,-,-,0,0
3,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,6924,281,4.06%,0,0.00%,4,4,1.42%,1.42%,80763.84,80763.84,4,4,11900000,11900000,323055,36.84,36.84,2.71%,2.71%,-,-,-,0,0
4,"NuPhy Halo75 V2 QMK/VIA 75% Layout Wireless Mechanical Keyboard - Compatible with Windows, macOS, Macbook Neo and Linux RGB Backlight Hot-swappable Switch [3]",Paused,Product Ad,24984900134,-,GMV Max Custom ROAS,All,01/11/2025 00:00:00,Unlimited,6509,239,3.67%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,153129,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,4002,145,3.62%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,152189,0.00,0.00,0.00%,0.00%,-,-,-,0,0
