All CPC Ads Report - Shopee Indonesia
User Name,nuphyindonesia
Shop Name,Nuphy Official Store
Shop ID,624189649
Report Creation Time,26/06/2026 15:40
Date Period,16/02/2026 - 22/02/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,03/12/2025 00:00:00,Unlimited,40866,1086,2.66%,-,-,3,3,0.28%,0.28%,166021.78,166021.78,3,3,2955000,2955000,498065,5.93,5.93,16.86%,16.86%,-,-,-,0,0
2,NuPhy Node 75 Low-Profile Wireless Mechanical Keyboard 75% Layout Hot-swappable Switch RGB Dot Matrix LED Support Macbook Neo,Ongoing,Product Ad,47102389821,-,GMV Max Custom ROAS,All,28/01/2026 00:00:00,Unlimited,5939,219,3.69%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,141906,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,NuPhy Air75 V3 Low Profile Wireless Mechanical Keyboard. Perfect for Apple devices Mac/iPad and Windows / Linux / Macbook Neo [3],Paused,Product Ad,44020842631,-,GMV Max Custom ROAS,All,04/11/2025 00:00:00,Unlimited,8339,271,3.25%,0,0.00%,1,1,0.37%,0.37%,284870.71,284870.71,1,1,3200000,3200000,284871,11.23,11.23,8.90%,8.90%,-,-,-,0,0
4,Paket Hard Case + NuPhy Air75 V3 Wireless Low-Profile Mechanical Keyboard. Perfect for Apple devices Mac/iPad/Macbook Neo,Paused,Product Ad,41522864932,-,GMV Max Custom ROAS,All,26/10/2025 00:00:00,Unlimited,4961,79,1.59%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,76159,0.00,0.00,0.00%,0.00%,-,-,-,0,0
