All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 12:19
Date Period,29/06/2026 - 05/07/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,10521,400,3.80%,-,-,1,0,0.25%,0.00%,137094.89,0.00,1,0,550000,0,137095,4.01,0.00,24.93%,0.00%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,3949,142,3.60%,2,1.41%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,147497,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2447,70,2.86%,4,5.71%,2,2,2.86%,2.86%,46330.68,46330.68,2,2,370000,370000,92661,3.99,3.99,25.04%,25.04%,-,-,-,0,0
4,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,2294,162,7.06%,9,5.56%,1,1,0.62%,0.62%,100208.83,100208.83,1,1,850000,850000,100209,8.48,8.48,11.79%,11.79%,-,-,-,0,0
