All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 11:57
Date Period,04/05/2026 - 10/05/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,29040,617,2.12%,-,-,8,5,1.30%,0.81%,46056.96,73691.14,10,6,6785000,5335000,368456,18.41,14.48,5.43%,6.91%,-,-,-,41000,500000
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7227,424,5.87%,0,0.00%,5,4,1.18%,0.94%,69978.91,87473.64,5,4,5725000,5225000,349895,16.36,14.93,6.11%,6.70%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,5681,183,3.22%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,113120,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2984,105,3.52%,0,0.00%,5,5,4.76%,4.76%,24417.38,24417.38,5,5,1005000,1005000,122087,8.23,8.23,12.15%,12.15%,-,-,-,0,0
