All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 09:55
Date Period,23/02/2026 - 01/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,4864,136,2.80%,-,-,1,0,0.74%,0.00%,68061.34,0.00,16,0,616000,0,68061,9.05,0.00,11.05%,0.00%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,11123,358,3.22%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,156832,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,5667,322,5.68%,0,0.00%,5,5,1.55%,1.55%,48984.10,48984.10,6,6,6150000,6150000,244920,25.11,25.11,3.98%,3.98%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2794,81,2.90%,0,0.00%,3,2,3.70%,2.47%,22483.54,33725.30,3,2,455000,410000,67451,6.75,6.08,14.82%,16.45%,-,-,-,0,0
