All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 09:51
Date Period,09/02/2026 - 15/02/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,26006,310,1.19%,-,-,1,1,0.32%,0.32%,180400.00,180400.00,1,1,15000,15000,180400,0.08,0.08,1202.67%,1202.67%,-,-,-,0,0
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,6588,355,5.39%,0,0.00%,4,1,1.13%,0.28%,41152.76,164611.06,4,1,9095000,595000,164611,55.25,3.61,1.81%,27.67%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,6138,215,3.50%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,107430,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2217,66,2.98%,0,0.00%,3,3,4.55%,4.55%,20186.74,20186.74,3,3,575000,575000,60560,9.49,9.49,10.53%,10.53%,-,-,-,0,0
