All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 09:53
Date Period,16/02/2026 - 22/02/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,20205,250,1.24%,-,-,1,0,0.40%,0.00%,224715.79,0.00,1,0,2250000,0,224716,10.01,0.00,9.99%,0.00%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,9153,277,3.03%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,138534,0.00,0.00,0.00%,0.00%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7966,402,5.05%,0,0.00%,6,6,1.49%,1.49%,55232.04,55232.04,6,6,6835000,6835000,331392,20.63,20.63,4.85%,4.85%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2368,105,4.43%,0,0.00%,5,5,4.76%,4.76%,26544.44,26544.44,9,9,2012500,2012500,132722,15.16,15.16,6.59%,6.59%,-,-,-,0,0
