All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 09:57
Date Period,02/03/2026 - 08/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,15582,167,1.07%,-,-,1,0,0.60%,0.00%,83651.17,0.00,1,0,950000,0,83651,11.36,0.00,8.81%,0.00%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,7636,246,3.22%,0,0.00%,2,2,0.81%,0.81%,64081.12,64081.12,2,2,3700000,3700000,128162,28.87,28.87,3.46%,3.46%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,5043,300,5.95%,0,0.00%,8,8,2.67%,2.67%,28250.59,28250.59,8,8,7710000,7710000,226005,34.11,34.11,2.93%,2.93%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2728,71,2.60%,0,0.00%,2,0,2.82%,0.00%,29237.98,0.00,2,0,700000,0,58476,11.97,0.00,8.35%,0.00%,-,-,-,0,0
