All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 10:01
Date Period,16/03/2026 - 22/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,20768,246,1.18%,-,-,3,2,1.22%,0.81%,30788.87,46183.30,10,6,5825000,4425000,92367,63.06,47.91,1.59%,2.09%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,8403,304,3.62%,0,0.00%,2,0,0.66%,0.00%,68775.09,0.00,2,0,5700000,0,137550,41.44,0.00,2.41%,0.00%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,6931,290,4.18%,0,0.00%,4,3,1.38%,1.03%,52495.23,69993.64,4,3,5220000,3370000,209981,24.86,16.05,4.02%,6.23%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,1211,52,4.29%,0,0.00%,1,1,1.92%,1.92%,18341.53,18341.53,1,1,185000,185000,18342,10.09,10.09,9.91%,9.91%,-,-,-,0,0
