All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 10:02
Date Period,23/03/2026 - 29/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,16765,278,1.66%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,65543,0.00,0.00,0.00%,0.00%,-,-,-,0,0
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,5797,298,5.14%,0,0.00%,3,3,1.01%,1.01%,61733.00,61733.00,3,3,3400000,3400000,185199,18.36,18.36,5.45%,5.45%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,4909,213,4.34%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,51355,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2705,85,3.14%,0,0.00%,4,4,4.71%,4.71%,19004.80,19004.80,4,4,920000,920000,76019,12.10,12.10,8.26%,8.26%,-,-,-,0,0
