All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 09:59
Date Period,09/03/2026 - 15/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,20146,202,1.00%,-,-,2,1,0.99%,0.50%,68993.91,137987.81,7,6,345000,210000,137988,2.50,1.52,40.00%,65.71%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,3737,167,4.47%,0,0.00%,1,0,0.60%,0.00%,62144.00,0.00,1,0,200000,0,62144,3.22,0.00,31.07%,0.00%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,3627,187,5.16%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,45180,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,3525,88,2.50%,0,0.00%,1,1,1.14%,1.14%,99989.57,99989.57,1,1,205000,205000,99990,2.05,2.05,48.78%,48.78%,-,-,-,0,0
