All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 10:07
Date Period,30/03/2026 - 05/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,16982,328,1.93%,-,-,2,2,0.61%,0.61%,40632.35,40632.35,3,3,920000,920000,81265,11.32,11.32,8.83%,8.83%,-,-,-,0,0
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7402,414,5.59%,0,0.00%,7,5,1.69%,1.21%,41882.23,58635.12,7,5,6045000,4730000,293176,20.62,16.13,4.85%,6.20%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,5877,237,4.03%,0,0.00%,3,1,1.27%,0.42%,44960.70,134882.09,3,1,4350000,2350000,134882,32.25,17.42,3.10%,5.74%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,3037,95,3.13%,0,0.00%,2,2,2.11%,2.11%,26353.29,26353.29,2,2,370000,370000,52707,7.02,7.02,14.25%,14.25%,-,-,-,0,0
