All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 11:49
Date Period,20/04/2026 - 26/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,23906,592,2.48%,-,-,5,2,0.84%,0.34%,47614.05,119035.13,5,2,5685000,3135000,238070,23.88,13.17,4.19%,7.59%,-,-,-,59999,1550000
2,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,8945,206,2.30%,0,0.00%,3,3,1.46%,1.46%,47954.80,47954.80,3,3,685000,685000,143864,4.76,4.76,21.00%,21.00%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7111,413,5.81%,0,0.00%,7,7,1.69%,1.69%,50341.49,50341.49,8,8,7100000,7100000,352390,20.15,20.15,4.96%,4.96%,-,-,-,0,0
4,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,7018,234,3.33%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,138567,0.00,0.00,0.00%,0.00%,-,-,-,0,0
