All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 12:08
Date Period,01/06/2026 - 07/06/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,14286,499,3.49%,-,-,2,2,0.40%,0.40%,106154.23,106154.23,2,2,1175000,1175000,212308,5.53,5.53,18.07%,18.07%,-,-,-,31249,125000
2,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,6364,188,2.95%,6,3.19%,2,2,1.06%,1.06%,57173.91,57173.91,2,2,390000,390000,114348,3.41,3.41,29.32%,29.32%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,3805,156,4.10%,3,1.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,97435,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,3309,240,7.25%,14,5.83%,3,3,1.25%,1.25%,75329.15,75329.15,3,3,2450000,2450000,225987,10.84,10.84,9.22%,9.22%,-,-,-,0,0
