All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 11:59
Date Period,11/05/2026 - 17/05/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,8126,176,2.17%,-,-,4,3,2.27%,1.70%,30360.65,40480.87,5,3,2650000,2150000,121443,21.82,17.70,4.58%,5.65%,-,-,-,0,0
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,2408,119,4.94%,0,0.00%,2,2,1.68%,1.68%,51836.23,51836.23,2,2,2000000,2000000,103672,19.29,19.29,5.18%,5.18%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,1394,32,2.30%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13316,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,1072,31,2.89%,0,0.00%,1,1,3.23%,3.23%,24538.91,24538.91,1,1,185000,185000,24539,7.54,7.54,13.26%,13.26%,-,-,-,0,0
