All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 09:50
Date Period,02/02/2026 - 08/02/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,18113,156,0.86%,-,-,1,1,0.64%,0.64%,91190.42,91190.42,1,1,1950000,1950000,91190,21.38,21.38,4.68%,4.68%,-,-,-,0,0
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,9622,300,3.12%,0,0.00%,1,1,0.33%,0.33%,120858.54,120858.54,1,1,1850000,1850000,120859,15.31,15.31,6.53%,6.53%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,8472,513,6.06%,0,0.00%,5,4,0.97%,0.78%,68261.41,85326.77,5,4,4836000,4086000,341307,14.17,11.97,7.06%,8.35%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,4039,102,2.53%,0,0.00%,2,1,1.96%,0.98%,48561.03,97122.06,2,1,370000,185000,97122,3.81,1.90,26.25%,52.50%,-,-,-,0,0
