All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 12:10
Date Period,08/06/2026 - 14/06/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,10148,399,3.93%,-,-,6,1,1.50%,0.25%,15870.42,95222.54,12,1,2670000,750000,95223,28.04,7.88,3.57%,12.70%,-,-,-,0,0
2,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,4577,170,3.71%,6,3.53%,5,5,2.94%,2.94%,21190.71,21190.71,5,5,995000,995000,105954,9.39,9.39,10.65%,10.65%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,3688,182,4.93%,7,3.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,131182,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,3455,237,6.86%,8,3.38%,4,3,1.69%,1.27%,55142.53,73523.37,4,3,5025000,3500000,220570,22.78,15.87,4.39%,6.30%,-,-,-,0,0
