All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 12:12
Date Period,15/06/2026 - 21/06/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,16023,603,3.76%,-,-,8,6,1.33%,1.00%,32838.58,43784.78,9,7,12340000,8440000,262709,46.97,32.13,2.13%,3.11%,-,-,-,67999,1150000
2,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,3786,218,5.76%,6,2.75%,1,1,0.46%,0.46%,142449.61,142449.61,1,1,2350000,2350000,142450,16.50,16.50,6.06%,6.06%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,3476,267,7.68%,11,4.12%,1,1,0.37%,0.37%,164128.97,164128.97,1,1,535000,535000,164129,3.26,3.26,30.68%,30.68%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,2474,64,2.59%,3,4.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,42566,0.00,0.00,0.00%,0.00%,-,-,-,0,0
