All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 12:16
Date Period,22/06/2026 - 28/06/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,11073,408,3.68%,-,-,1,0,0.25%,0.00%,162298.24,0.00,1,0,650000,0,162298,4.00,0.00,24.97%,0.00%,-,-,-,0,0
2,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,3809,119,3.12%,7,5.88%,2,2,1.68%,1.68%,66612.45,66612.45,2,2,410000,410000,133225,3.08,3.08,32.49%,32.49%,-,-,-,0,0
3,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,3772,254,6.73%,10,3.94%,5,4,1.97%,1.57%,57394.89,71743.61,6,5,4950000,4635000,286974,17.25,16.15,5.80%,6.19%,-,-,-,0,0
4,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,2675,170,6.36%,3,1.76%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,101733,0.00,0.00,0.00%,0.00%,-,-,-,0,0
