All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 11:52
Date Period,27/04/2026 - 03/05/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,24998,533,2.13%,-,-,3,3,0.56%,0.56%,95823.45,95823.45,3,3,4150000,4150000,287470,14.44,14.44,6.93%,6.93%,-,-,-,40799,510000
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7878,521,6.61%,0,0.00%,5,5,0.96%,0.96%,71749.20,71749.20,5,5,5570000,5570000,358746,15.53,15.53,6.44%,6.44%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,6615,206,3.11%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,130082,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,5803,134,2.31%,0,0.00%,2,2,1.49%,1.49%,48416.87,48416.87,2,2,435000,435000,96834,4.49,4.49,22.26%,22.26%,-,-,-,0,0
