All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 11:47
Date Period,13/04/2026 - 19/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,19676,449,2.28%,-,-,4,3,0.89%,0.67%,19773.77,26365.03,4,3,2930000,2685000,79095,37.04,33.95,2.70%,2.95%,-,-,-,41000,250000
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7025,429,6.11%,0,0.00%,8,8,1.86%,1.86%,53319.02,53319.02,9,9,8025000,8025000,426552,18.81,18.81,5.32%,5.32%,-,-,-,0,0
3,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,6546,208,3.18%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,103174,0.00,0.00,0.00%,0.00%,-,-,-,0,0
4,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,5876,177,3.01%,0,0.00%,3,3,1.69%,1.69%,30747.08,30747.08,3,3,575000,575000,92241,6.23,6.23,16.04%,16.04%,-,-,-,0,0
