All CPC Ads Report - Shopee Indonesia
User Name,piramidasign
Shop Name,Piramida Sign
Shop ID,33011497
Report Creation Time,07/07/2026 11:44
Date Period,06/04/2026 - 12/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Shop GMV Max,Ongoing,,-,-,GMV Max Auto Bidding (Shop),All,05/12/2025 00:00:00,Unlimited,26482,674,2.55%,-,-,8,3,1.19%,0.45%,27850.82,74268.86,17,12,9170000,2220000,222807,41.16,9.96,2.43%,10.04%,-,-,-,0,0
2,Custom letter sign papan nama klinik toko usaha salon kecantikan dental dokter makeup kosmetik,Ongoing,Product Ad,28277554266,-,GMV Max Custom ROAS,All,01/09/2025 00:00:00,Unlimited,7051,399,5.66%,0,0.00%,8,8,2.01%,2.01%,44294.62,44294.62,8,8,7660000,7660000,354357,21.62,21.62,4.63%,4.63%,-,-,-,0,0
3,Sign sliding open closed minimalis modern [2],Ongoing,Product Ad,27461060604,-,GMV Max Custom ROAS,All,22/08/2025 00:00:00,Unlimited,4745,152,3.20%,0,0.00%,6,5,3.95%,3.29%,22254.99,26705.99,6,5,1110000,985000,133530,8.31,7.38,12.03%,13.56%,-,-,-,0,0
4,Lego Frame wall speed champion f1 ferrari mclaren redbull mercedes,Ongoing,Product Ad,40325319132,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,4495,196,4.36%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,92162,0.00,0.00,0.00%,0.00%,-,-,-,0,0
