Shop GMV Max - Shopee Indonesia
Username,japarutomo
Nama Toko,Japarutomo
ID Toko,195741061
Waktu Laporan Dibuat,16/07/2026 00:34
Periode,01/06/2026 - 30/06/2026

Urutan,Nama Produk,Kode Produk,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Voucher Amount,Vouchered Sales
1,Shop GMV Max,-,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,0,0
